timestamp,temperature_celsius,shock_g,lat,lon
2026-08-20T08:00:00Z,3.88,0.77,33.7490,-84.3880
2026-08-20T08:05:00Z,4.23,0.55,33.7490,-84.3880
2026-08-20T08:10:00Z,4.14,0.51,33.7490,-84.3880
2026-08-20T08:15:00Z,3.50,0.79,33.7490,-84.3880
2026/08/20 08:20:00,3.70,0.58,33.7490,-84.3880
2026-08-20T08:25:00Z,4.47,0.76,33.7490,-84.3880
2026-08-20T08:30:00Z,3.95,0.79,33.7490,-84.3880
2026-08-20T08:35:00Z,3.81,0.73,33.7490,-84.3880
2026-08-20T08:40:00Z,,0.66,33.7490,-84.3880
2026-08-20T08:45:00Z,4.31,0.73,33.7490,-84.3880
2026-08-20T08:50:00Z,,0.54,33.7490,-84.3880
2026-08-20T08:55:00Z,3.68,0.74,33.7490,-84.3880
2026-08-20T09:00:00Z,3.71,0.54,33.7490,-84.3880
2026-08-20T09:05:00Z,4.25,0.70,33.7490,-84.3880
2026-08-20T09:10:00Z,4.11,0.68,33.7490,-84.3880
2026-08-20T09:15:00Z,4.39,0.79,33.7490,-84.3880
2026/08/20 09:20:00,4.35,0.73,33.7490,-84.3880
2026-08-20T09:25:00Z,,0.69,33.7490,-84.3880
2026-08-20T09:30:00Z,4.25,0.56,33.7490,-84.3880
2026-08-20T09:35:00Z,3.52,0.77,33.7490,-84.3880
2026-08-20T09:40:00Z,3.56,0.56,33.7490,-84.3880
2026-08-20T09:45:00Z,3.63,0.56,33.7490,-84.3880
2026-08-20T09:50:00Z,3.99,0.61,33.7490,-84.3880
2026-08-20T09:55:00Z,4.25,0.64,33.7490,-84.3880
2026-08-20T10:00:00Z,3.79 C,0.65,33.7490,-84.3880
2026-08-20T10:05:00Z,4.14,4.20,33.7490,-84.3880
2026-08-20T10:10:00Z,4.39,0.63,33.7490,-84.3880
2026-08-20T10:15:00Z,4.02,0.77,33.7490,-84.3880
2026-08-20T10:20:00Z,3.82,0.53,33.7490,-84.3880
2026-08-20T10:25:00Z,4.28,0.51,33.7490,-84.3880
2026/08/20 10:30:00,4.48,0.59,33.7490,-84.3880
2026-08-20T10:35:00Z,4.12,0.63,33.7490,-84.3880
2026-08-20T10:40:00Z,3.69,0.65,33.7490,-84.3880
2026-08-20T10:45:00Z,3.90,0.58,33.7490,-84.3880
2026-08-20T10:50:00Z,4.39 C,0.72,33.7490,-84.3880
2026-08-20T10:55:00Z,3.83,0.72,33.7490,-84.3880
2026-08-20T11:00:00Z,4.06,0.60,33.7490,-84.3880
2026-08-20T11:05:00Z,3.84,0.58,33.7490,-84.3880
2026-08-20T11:10:00Z,3.97,0.67,33.7490,-84.3880
2026-08-20T11:15:00Z,3.66,0.65,33.7490,-84.3880
2026-08-20T11:20:00Z,3.74,0.54,33.7490,-84.3880
2026-08-20T11:25:00Z,3.89,0.65,33.7490,-84.3880
2026-08-20T11:30:00Z,15.06,0.70,33.7490,-84.3880
2026-08-20T11:35:00Z,16.13,0.73,33.7490,-84.3880
2026-08-20T11:40:00Z,17.47,0.77,33.7490,-84.3880
2026/08/20 11:45:00,,0.50,33.7490,-84.3880
2026-08-20T11:50:00Z,15.55,0.55,33.7490,-84.3880
2026-08-20T11:55:00Z,15.56,0.78,33.7490,-84.3880
2026-08-20T12:00:00Z,16.78,0.69,33.7490,-84.3880
2026-08-20T12:05:00Z,15.52,0.65,33.7490,-84.3880
2026-08-20T12:10:00Z,14.51,0.51,33.7490,-84.3880
2026-08-20T12:15:00Z,17.38,0.71,33.7490,-84.3880
2026-08-20T12:20:00Z,16.23,0.55,33.7490,-84.3880
2026-08-20T12:25:00Z,15.76,0.61,33.7490,-84.3880
2026-08-20T12:30:00Z,16.01,0.62,33.7490,-84.3880
2026-08-20T12:35:00Z,16.20,0.54,33.7490,-84.3880
2026-08-20T12:40:00Z,15.33,0.72,33.7490,-84.3880
2026-08-20T12:45:00Z,14.84,0.57,33.7490,-84.3880
2026-08-20T12:50:00Z,16.05,0.57,33.7490,-84.3880
2026-08-20T12:55:00Z,17.48,0.54,33.7490,-84.3880
2026-08-20T13:00:00Z,17.22,0.58,33.7490,-84.3880
2026-08-20T13:05:00Z,16.53,0.50,33.7490,-84.3880
2026-08-20T13:10:00Z,14.85,0.53,33.7490,-84.3880
2026-08-20T13:15:00Z,17.30,0.76,33.7490,-84.3880
2026-08-20T13:20:00Z,17.41,0.54,33.7490,-84.3880
2026/08/20 13:25:00,14.74,0.65,33.7490,-84.3880
2026-08-20T13:30:00Z,17.29,0.67,33.7490,-84.3880
2026-08-20T13:35:00Z,17.43,0.54,33.7490,-84.3880
2026-08-20T13:40:00Z,,0.80,33.7490,-84.3880
2026-08-20T13:45:00Z,15.19,0.57,33.7490,-84.3880
2026-08-20T13:50:00Z,16.34,0.75,33.7490,-84.3880
2026-08-20T13:55:00Z,15.22,0.79,33.7490,-84.3880
2026-08-20T14:00:00Z,15.09,0.64,33.7490,-84.3880
